task,n,k,threads,schedule,chunk,trial,time
A,100000,20,1,static,auto,1,0.066996
A,100000,20,1,static,auto,2,0.067838
A,100000,20,1,static,auto,3,0.067683
A,100000,20,1,static,auto,4,0.067446
A,100000,20,1,static,auto,5,0.065885
A,100000,20,1,dynamic,1,1,0.066700
A,100000,20,1,dynamic,1,2,0.066835
A,100000,20,1,dynamic,1,3,0.068241
A,100000,20,1,dynamic,1,4,0.068457
A,100000,20,1,dynamic,1,5,0.067033
A,100000,20,1,dynamic,4,1,0.066526
A,100000,20,1,dynamic,4,2,0.067723
A,100000,20,1,dynamic,4,3,0.068556
A,100000,20,1,dynamic,4,4,0.067757
A,100000,20,1,dynamic,4,5,0.066257
A,100000,20,1,dynamic,16,1,0.076716
A,100000,20,1,dynamic,16,2,0.066830
A,100000,20,1,dynamic,16,3,0.066518
A,100000,20,1,dynamic,16,4,0.066328
A,100000,20,1,dynamic,16,5,0.066177
A,100000,20,1,dynamic,64,1,0.066179
A,100000,20,1,dynamic,64,2,0.066124
A,100000,20,1,dynamic,64,3,0.066461
A,100000,20,1,dynamic,64,4,0.066847
A,100000,20,1,dynamic,64,5,0.068440
A,100000,20,1,guided,1,1,0.066458
A,100000,20,1,guided,1,2,0.068595
A,100000,20,1,guided,1,3,0.066238
A,100000,20,1,guided,1,4,0.067321
A,100000,20,1,guided,1,5,0.068117
A,100000,20,1,guided,4,1,0.068590
A,100000,20,1,guided,4,2,0.066031
A,100000,20,1,guided,4,3,0.067476
A,100000,20,1,guided,4,4,0.068901
A,100000,20,1,guided,4,5,0.067195
A,100000,20,1,guided,16,1,0.066508
A,100000,20,1,guided,16,2,0.066274
A,100000,20,1,guided,16,3,0.066342
A,100000,20,1,guided,16,4,0.066574
A,100000,20,1,guided,16,5,0.066484
A,100000,20,1,guided,64,1,0.067355
A,100000,20,1,guided,64,2,0.066392
A,100000,20,1,guided,64,3,0.068276
A,100000,20,1,guided,64,4,0.090459
A,100000,20,1,guided,64,5,0.066028
A,100000,20,2,static,auto,1,0.033429
A,100000,20,2,static,auto,2,0.034578
A,100000,20,2,static,auto,3,0.033917
A,100000,20,2,static,auto,4,0.040742
A,100000,20,2,static,auto,5,0.033467
A,100000,20,2,dynamic,1,1,0.033611
A,100000,20,2,dynamic,1,2,0.033216
A,100000,20,2,dynamic,1,3,0.033938
A,100000,20,2,dynamic,1,4,0.033257
A,100000,20,2,dynamic,1,5,0.033235
A,100000,20,2,dynamic,4,1,0.033333
A,100000,20,2,dynamic,4,2,0.033334
A,100000,20,2,dynamic,4,3,0.033015
A,100000,20,2,dynamic,4,4,0.032918
A,100000,20,2,dynamic,4,5,0.040174
A,100000,20,2,dynamic,16,1,0.034156
A,100000,20,2,dynamic,16,2,0.034866
A,100000,20,2,dynamic,16,3,0.033528
A,100000,20,2,dynamic,16,4,0.033800
A,100000,20,2,dynamic,16,5,0.033504
A,100000,20,2,dynamic,64,1,0.033360
A,100000,20,2,dynamic,64,2,0.033498
A,100000,20,2,dynamic,64,3,0.033066
A,100000,20,2,dynamic,64,4,0.033320
A,100000,20,2,dynamic,64,5,0.033295
A,100000,20,2,guided,1,1,0.033592
A,100000,20,2,guided,1,2,0.033200
A,100000,20,2,guided,1,3,0.033132
A,100000,20,2,guided,1,4,0.033739
A,100000,20,2,guided,1,5,0.037541
A,100000,20,2,guided,4,1,0.033366
A,100000,20,2,guided,4,2,0.033150
A,100000,20,2,guided,4,3,0.033556
A,100000,20,2,guided,4,4,0.033154
A,100000,20,2,guided,4,5,0.038056
A,100000,20,2,guided,16,1,0.033154
A,100000,20,2,guided,16,2,0.033382
A,100000,20,2,guided,16,3,0.033213
A,100000,20,2,guided,16,4,0.033091
A,100000,20,2,guided,16,5,0.033512
A,100000,20,2,guided,64,1,0.033257
A,100000,20,2,guided,64,2,0.033166
A,100000,20,2,guided,64,3,0.040631
A,100000,20,2,guided,64,4,0.034111
A,100000,20,2,guided,64,5,0.033625
A,100000,20,4,static,auto,1,0.030996
A,100000,20,4,static,auto,2,0.017292
A,100000,20,4,static,auto,3,0.017490
A,100000,20,4,static,auto,4,0.019935
A,100000,20,4,static,auto,5,0.019233
A,100000,20,4,dynamic,1,1,0.017809
A,100000,20,4,dynamic,1,2,0.024928
A,100000,20,4,dynamic,1,3,0.023508
A,100000,20,4,dynamic,1,4,0.017601
A,100000,20,4,dynamic,1,5,0.017488
A,100000,20,4,dynamic,4,1,0.021053
A,100000,20,4,dynamic,4,2,0.017072
A,100000,20,4,dynamic,4,3,0.016966
A,100000,20,4,dynamic,4,4,0.016888
A,100000,20,4,dynamic,4,5,0.016968
A,100000,20,4,dynamic,16,1,0.017042
A,100000,20,4,dynamic,16,2,0.016878
A,100000,20,4,dynamic,16,3,0.017096
A,100000,20,4,dynamic,16,4,0.017075
A,100000,20,4,dynamic,16,5,0.017113
A,100000,20,4,dynamic,64,1,0.016823
A,100000,20,4,dynamic,64,2,0.017210
A,100000,20,4,dynamic,64,3,0.020832
A,100000,20,4,dynamic,64,4,0.016734
A,100000,20,4,dynamic,64,5,0.017277
A,100000,20,4,guided,1,1,0.017257
A,100000,20,4,guided,1,2,0.027300
A,100000,20,4,guided,1,3,0.016866
A,100000,20,4,guided,1,4,0.017509
A,100000,20,4,guided,1,5,0.018486
A,100000,20,4,guided,4,1,0.019205
A,100000,20,4,guided,4,2,0.017346
A,100000,20,4,guided,4,3,0.017336
A,100000,20,4,guided,4,4,0.018774
A,100000,20,4,guided,4,5,0.018689
A,100000,20,4,guided,16,1,0.018854
A,100000,20,4,guided,16,2,0.017528
A,100000,20,4,guided,16,3,0.020339
A,100000,20,4,guided,16,4,0.017814
A,100000,20,4,guided,16,5,0.017543
A,100000,20,4,guided,64,1,0.017327
A,100000,20,4,guided,64,2,0.017298
A,100000,20,4,guided,64,3,0.017277
A,100000,20,4,guided,64,4,0.017236
A,100000,20,4,guided,64,5,0.023070
A,100000,20,8,static,auto,1,0.016039
A,100000,20,8,static,auto,2,0.016239
A,100000,20,8,static,auto,3,0.016279
A,100000,20,8,static,auto,4,0.015312
A,100000,20,8,static,auto,5,0.015116
A,100000,20,8,dynamic,1,1,0.013353
A,100000,20,8,dynamic,1,2,0.011964
A,100000,20,8,dynamic,1,3,0.012416
A,100000,20,8,dynamic,1,4,0.014369
A,100000,20,8,dynamic,1,5,0.014456
A,100000,20,8,dynamic,4,1,0.013323
A,100000,20,8,dynamic,4,2,0.012865
A,100000,20,8,dynamic,4,3,0.012227
A,100000,20,8,dynamic,4,4,0.012747
A,100000,20,8,dynamic,4,5,0.012156
A,100000,20,8,dynamic,16,1,0.011549
A,100000,20,8,dynamic,16,2,0.012202
A,100000,20,8,dynamic,16,3,0.012108
A,100000,20,8,dynamic,16,4,0.011976
A,100000,20,8,dynamic,16,5,0.013440
A,100000,20,8,dynamic,64,1,0.012265
A,100000,20,8,dynamic,64,2,0.011792
A,100000,20,8,dynamic,64,3,0.013325
A,100000,20,8,dynamic,64,4,0.012725
A,100000,20,8,dynamic,64,5,0.011713
A,100000,20,8,guided,1,1,0.012225
A,100000,20,8,guided,1,2,0.014403
A,100000,20,8,guided,1,3,0.015976
A,100000,20,8,guided,1,4,0.015260
A,100000,20,8,guided,1,5,0.014222
A,100000,20,8,guided,4,1,0.012145
A,100000,20,8,guided,4,2,0.011095
A,100000,20,8,guided,4,3,0.011442
A,100000,20,8,guided,4,4,0.016669
A,100000,20,8,guided,4,5,0.012307
A,100000,20,8,guided,16,1,0.009661
A,100000,20,8,guided,16,2,0.010207
A,100000,20,8,guided,16,3,0.012600
A,100000,20,8,guided,16,4,0.010629
A,100000,20,8,guided,16,5,0.012213
A,100000,20,8,guided,64,1,0.011047
A,100000,20,8,guided,64,2,0.015396
A,100000,20,8,guided,64,3,0.010406
A,100000,20,8,guided,64,4,0.012901
A,100000,20,8,guided,64,5,0.015377
A,100000,20,16,static,auto,1,0.020300
A,100000,20,16,static,auto,2,0.019653
A,100000,20,16,static,auto,3,0.020634
A,100000,20,16,static,auto,4,0.019171
A,100000,20,16,static,auto,5,0.021639
A,100000,20,16,dynamic,1,1,0.015125
A,100000,20,16,dynamic,1,2,0.016548
A,100000,20,16,dynamic,1,3,0.010124
A,100000,20,16,dynamic,1,4,0.015137
A,100000,20,16,dynamic,1,5,0.016768
A,100000,20,16,dynamic,4,1,0.015515
A,100000,20,16,dynamic,4,2,0.016771
A,100000,20,16,dynamic,4,3,0.016825
A,100000,20,16,dynamic,4,4,0.016598
A,100000,20,16,dynamic,4,5,0.016905
A,100000,20,16,dynamic,16,1,0.015427
A,100000,20,16,dynamic,16,2,0.016793
A,100000,20,16,dynamic,16,3,0.016870
A,100000,20,16,dynamic,16,4,0.009666
A,100000,20,16,dynamic,16,5,0.015594
A,100000,20,16,dynamic,64,1,0.015631
A,100000,20,16,dynamic,64,2,0.016252
A,100000,20,16,dynamic,64,3,0.010516
A,100000,20,16,dynamic,64,4,0.021789
A,100000,20,16,dynamic,64,5,0.016419
A,100000,20,16,guided,1,1,0.015547
A,100000,20,16,guided,1,2,0.016905
